model,rounds_played,total_score,avg_score,total_turns,total_output_tokens,total_wall_clock,avg_failed_guesses,success_rate,avg_output_tokens_per_turn,wall_clock_per_turn,intra_rule_variance,inter_rule_variance,variance_ratio
Gpt 5 Mini Medium,35,213,6.085714285714285,471,1312508,21446.86,1.3142857142857143,0.5428571428571428,2786.64118895966,45.53473460721869,9.971428571428572,45.118095238095236,0.22100730358424453
Gemini 3 Flash Preview Low,35,183,5.228571428571429,489,571292,4597.47,1.9714285714285715,0.5428571428571428,1168.2862985685072,9.401779141104296,16.057142857142857,45.75238095238094,0.35095753538717744
Claude Haiku 4.5,35,155,4.428571428571429,463,2427758,20379.079999999998,6.4,0.5142857142857142,5243.537796976242,44.01529157667386,26.67142857142857,65.45904761904764,0.407452132922074
Gpt Oss 20B,35,99,2.8285714285714287,539,3066473,25441.41,5.371428571428571,0.45714285714285713,5689.189239332097,47.20113172541744,20.014285714285712,48.68571428571428,0.4110915492957746
