model,rounds_played,success_rate,avg_score,avg_turns,avg_failed_guesses,total_tokens,total_score,token_efficiency,avg_turns_success
Claude Opus 4.5,3,1.0,14.333333333333334,5.666666666666667,0.0,100608,43,0.4274013994910942,5.666666666666667
Deepseek R1,3,1.0,16.333333333333332,3.6666666666666665,0.0,54243,49,0.9033423667570009,3.6666666666666665
Gemini 3 Flash Preview,3,1.0,9.333333333333334,10.0,0.3333333333333333,97298,28,0.28777569939772657,10.0
Gemini 3 Pro Preview,3,1.0,12.333333333333334,7.666666666666667,0.0,63999,37,0.578134033344271,7.666666666666667
Glm 4.7,3,1.0,14.0,6.0,0.0,2217,42,18.94451962110961,6.0
Gpt 5.2,3,1.0,10.666666666666666,9.333333333333334,0.0,92366,32,0.34644782712253425,9.333333333333334
Gpt Oss 120B,3,1.0,12.333333333333334,7.0,0.3333333333333333,3325,37,11.12781954887218,7.0
Kimi K2,3,1.0,12.333333333333334,5.666666666666667,1.0,1291,37,28.65995352439969,5.666666666666667
