model,rounds_played,success_rate,avg_score,avg_turns,avg_failed_guesses,total_output_tokens,total_reasoning_tokens,total_answer_tokens,total_turns,output_tokens_per_turn,reasoning_ratio,avg_turns_success
Claude Opus 4.5,3,1.0,14.666666666666666,4.666666666666667,0.3333333333333333,36739,34208,2531,14,2624.214285714286,0.9311086311549035,4.666666666666667
Deepseek R1,3,1.0,14.0,6.0,0.0,88384,75211,13173,18,4910.222222222223,0.8509571868211441,6.0
Gemini 3 Pro Preview Low,3,1.0,11.666666666666666,8.333333333333334,0.0,71302,58591,12711,25,2852.08,0.8217301057473844,8.333333333333334
Glm 4.7,3,1.0,12.333333333333334,7.0,0.3333333333333333,111593,109520,2073,21,5313.952380952381,0.9814235659942828,7.0
Gpt 5.2,3,1.0,10.0,10.0,0.0,23241,18848,4393,30,774.7,0.8109805946387849,10.0
Gpt Oss 120B,3,1.0,14.0,5.333333333333333,0.3333333333333333,21164,19649,1515,16,1322.75,0.9284161784161784,5.333333333333333
Kimi K2,3,1.0,13.0,6.333333333333333,0.3333333333333333,130698,129299,1399,19,6878.8421052631575,0.9892959341382423,6.333333333333333
