model,rounds_played,total_score,avg_score,total_turns,total_output_tokens,total_wall_clock,avg_failed_guesses,success_rate,avg_output_tokens_per_turn,wall_clock_per_turn,intra_rule_variance,inter_rule_variance,variance_ratio
Deepseek R1,14,83,5.928571428571429,157,1146637,23698.89,2.5714285714285716,0.8571428571428571,7303.420382165605,150.94834394904458,22.642857142857142,40.535714285714285,0.5585903083700441
Gpt 5.2 High,14,79,5.642857142857143,193,397499,11014.83,0.35714285714285715,0.9285714285714286,2059.580310880829,57.071658031088084,1.6428571428571428,34.142857142857146,0.048117154811715475
Claude Opus 4.5,14,75,5.357142857142857,165,795046,15790.29,2.5,0.8571428571428571,4818.460606060606,95.69872727272728,16.785714285714285,55.3095238095238,0.30348687042617306
Gpt Oss 120B,14,74,5.285714285714286,196,476317,2965.39,1.7142857142857142,0.6428571428571429,2430.188775510204,15.12954081632653,11.0,34.988095238095234,0.31439265056141547
Gemini 3 Flash Preview Low,14,70,5.0,206,212776,1682.44,0.9285714285714286,0.5,1032.893203883495,8.167184466019417,14.0,36.666666666666664,0.38181818181818183
